stratum,selection_index,floor,achieved_width,feasible_channels,evaluated_channels,a_o,a_interior,a_k,down_fraction,leak,boundary_y,boundary_t,boundary_fraction,maximum_composition_residual
baseline,1,0.9732394694628157,1.4026,131,900,0.92,0.58,1.0,0.95,0.0,1,1,0.7303166260783553,0.0
baseline,2,0.9316580937190271,1.4026,246,900,0.92,0.58,1.0,0.95,0.0,1,1,0.3335379186127424,1.1102230246251565e-16
baseline,5,0.9106408657839561,1.4026,270,900,0.92,0.58,1.0,0.95,0.0,1,1,0.0989278771451689,1.3877787807814457e-17
rural_highspeed,1,0.9962342328077615,1.9524,168,900,0.92,0.58,1.0,0.95,0.0,1,1,0.9364310725743719,1.3877787807814457e-17
rural_highspeed,2,0.9467553113991061,1.9524,270,900,0.92,0.58,1.0,0.95,0.0,1,1,0.33562432310150203,1.1102230246251565e-16
rural_highspeed,5,0.9172546893577251,1.9524,540,900,0.92,0.58,1.0,0.95,0.0,1,1,0.04741056849203263,0.0
unrestrained,1,1.3600748522808481,3.5819,634,900,0.92,0.58,1.0,0.95,0.0,2,1,0.47250794735336094,0.0
unrestrained,2,1.1965750358587677,3.5819,810,900,0.92,0.58,1.0,0.95,0.0,3,2,0.9303048116396566,5.551115123125783e-17
unrestrained,5,0.9648374837531143,3.5819,705,900,0.92,0.58,1.0,0.95,0.0,1,1,0.738975470006848,0.0
motorcycle,1,1.635197996063793,3.5517,755,900,0.92,0.58,1.0,0.95,0.0,2,1,0.6376536915601954,2.7755575615628914e-17
motorcycle,2,1.4824718246449389,3.5517,735,900,0.92,0.58,1.0,0.95,0.0,2,1,0.39134876612042957,0.0
motorcycle,5,1.0321265676822593,3.5517,705,900,0.92,0.58,1.0,0.95,0.0,3,2,0.11354274193403574,2.7755575615628914e-17
