hour,speed_bin,n,n_ka,share_ka
0,15,685,11,0.016058
0,20,920,11,0.011957
0,25,1031,18,0.017459
0,30,13852,399,0.028805
0,35,12725,419,0.032927
0,40,8456,312,0.036897
0,45,12186,440,0.036107
0,50,3222,154,0.047796
0,55,5548,351,0.063266
0,60,7309,410,0.056095
0,65,7426,314,0.042284
0,70,5608,321,0.057240
0,75,4306,274,0.063632
0,80,282,28,0.099291
1,15,566,15,0.026502
1,20,727,9,0.012380
1,25,951,27,0.028391
1,30,11912,341,0.028627
1,35,10337,363,0.035117
1,40,6770,316,0.046677
1,45,9591,470,0.049004
1,50,2532,144,0.056872
1,55,4566,313,0.068550
1,60,6420,355,0.055296
1,65,6698,328,0.048970
1,70,5090,327,0.064244
1,75,4020,256,0.063682
1,80,263,20,0.076046
2,15,704,9,0.012784
2,20,865,18,0.020809
2,25,1123,28,0.024933
2,30,14073,412,0.029276
2,35,12546,488,0.038897
2,40,7866,364,0.046275
2,45,11539,521,0.045151
2,50,2859,172,0.060161
2,55,5078,378,0.074439
2,60,7967,486,0.061002
2,65,8499,444,0.052241
2,70,5799,365,0.062942
2,75,3933,282,0.071701
2,80,219,19,0.086758
3,15,386,10,0.025907
3,20,535,16,0.029907
3,25,594,14,0.023569
3,30,8079,228,0.028221
3,35,6918,269,0.038884
3,40,4431,200,0.045137
3,45,6774,297,0.043844
3,50,1809,114,0.063018
3,55,3811,228,0.059827
3,60,5796,251,0.043306
3,65,6424,282,0.043898
3,70,4801,306,0.063737
3,75,3790,267,0.070449
3,80,236,13,0.055085
4,15,265,1,0.003774
4,20,348,4,0.011494
4,25,468,9,0.019231
4,30,6084,139,0.022847
4,35,5427,183,0.033720
4,40,3970,148,0.037280
4,45,5986,207,0.034581
4,50,1779,80,0.044969
4,55,3825,228,0.059608
4,60,5358,263,0.049085
4,65,6245,251,0.040192
4,70,4771,270,0.056592
4,75,4377,239,0.054604
4,80,251,23,0.091633
5,15,304,4,0.013158
5,20,451,6,0.013304
5,25,517,6,0.011605
5,30,7813,149,0.019071
5,35,8815,183,0.020760
5,40,7151,152,0.021256
5,45,11215,283,0.025234
5,50,3757,123,0.032739
5,55,7108,275,0.038689
5,60,9599,329,0.034274
5,65,10193,283,0.027764
5,70,7510,306,0.040746
5,75,6386,318,0.049796
5,80,322,10,0.031056
6,15,478,4,0.008368
6,20,869,6,0.006904
6,25,861,6,0.006969
6,30,14796,171,0.011557
6,35,18074,215,0.011896
6,40,15924,229,0.014381
6,45,22922,381,0.016622
6,50,7804,135,0.017299
6,55,13163,344,0.026134
6,60,18049,380,0.021054
6,65,17288,292,0.016890
6,70,12686,396,0.031216
6,75,8964,414,0.046185
6,80,478,8,0.016736
7,15,1294,6,0.004637
7,20,4230,13,0.003073
7,25,2101,11,0.005236
7,30,37682,205,0.005440
7,35,37005,310,0.008377
7,40,30935,253,0.008178
7,45,41267,327,0.007924
7,50,12693,156,0.012290
7,55,20285,460,0.022677
7,60,22136,379,0.017121
7,65,22102,313,0.014162
7,70,15262,404,0.026471
7,75,10083,449,0.044530
7,80,549,15,0.027322
8,15,1383,4,0.002892
8,20,2793,6,0.002148
8,25,1895,13,0.006860
8,30,37023,215,0.005807
8,35,37226,255,0.006850
8,40,29704,245,0.008248
8,45,39379,323,0.008202
8,50,11349,115,0.010133
8,55,16408,332,0.020234
8,60,19312,295,0.015275
8,65,19142,238,0.012433
8,70,12888,280,0.021726
8,75,8075,336,0.041610
8,80,490,27,0.055102
9,15,1431,5,0.003494
9,20,1700,6,0.003529
9,25,1479,11,0.007437
9,30,29406,207,0.007039
9,35,30097,238,0.007908
9,40,24812,224,0.009028
9,45,32335,316,0.009773
9,50,9184,122,0.013284
9,55,12795,307,0.023994
9,60,14088,269,0.019094
9,65,13504,236,0.017476
9,70,9858,264,0.026780
9,75,7059,281,0.039807
9,80,370,21,0.056757
10,15,1788,8,0.004474
10,20,1847,8,0.004331
10,25,1526,20,0.013106
10,30,31772,206,0.006484
10,35,32944,253,0.007680
10,40,27199,243,0.008934
10,45,35017,362,0.010338
10,50,9545,138,0.014458
10,55,13320,378,0.028378
10,60,13465,347,0.025771
10,65,12600,238,0.018889
10,70,9143,274,0.029968
10,75,7236,295,0.040768
10,80,358,23,0.064246
11,15,2158,8,0.003707
11,20,2275,5,0.002198
11,25,1772,16,0.009029
11,30,38174,274,0.007178
11,35,39813,315,0.007912
11,40,33267,306,0.009198
11,45,42905,393,0.009160
11,50,11428,145,0.012688
11,55,15532,413,0.026590
11,60,14836,336,0.022648
11,65,13476,233,0.017290
11,70,9720,299,0.030761
11,75,7978,316,0.039609
11,80,359,23,0.064067
12,15,2620,6,0.002290
12,20,2793,16,0.005729
12,25,2090,16,0.007656
12,30,46444,325,0.006998
12,35,49710,406,0.008167
12,40,41745,335,0.008025
12,45,54680,485,0.008870
12,50,14178,150,0.010580
12,55,18441,465,0.025216
12,60,17126,348,0.020320
12,65,16280,282,0.017322
12,70,11387,386,0.033898
12,75,8825,347,0.039320
12,80,417,16,0.038369
13,15,2802,6,0.002141
13,20,2825,11,0.003894
13,25,2175,16,0.007356
13,30,45023,334,0.007418
13,35,47809,355,0.007425
13,40,40038,367,0.009166
13,45,53774,454,0.008443
13,50,13992,195,0.013937
13,55,18555,472,0.025438
13,60,18040,407,0.022561
13,65,17110,294,0.017183
13,70,11892,366,0.030777
13,75,9328,346,0.037093
13,80,403,16,0.039702
14,15,2932,11,0.003752
14,20,3424,18,0.005257
