hour,speed_bin,n,cov_marginal,cov_mondrian,cov_declared
0.000000,15,108,0.888889,0.879630,0.879630
0.000000,20,148,0.885135,0.844595,0.885135
0.000000,25,165,0.830303,0.775758,0.824242
0.000000,30,2192,0.866332,0.812044,0.859489
0.000000,35,2009,0.822300,0.754604,0.915381
0.000000,40,1305,0.668966,0.617625,0.855172
0.000000,45,1899,0.682464,0.688257,0.856240
0.000000,50,461,0.542299,0.629067,0.752711
0.000000,55,818,0.424205,0.539120,0.842298
0.000000,60,1187,0.541702,0.527380,0.893008
0.000000,65,1126,0.514210,0.523091,0.915631
0.000000,70,857,0.423571,0.439907,0.931155
0.000000,75,662,0.351964,0.450151,0.858006
0.000000,80,52,0.365385,0.480769,0.788462
1.000000,15,98,0.928571,0.918367,0.928571
1.000000,20,103,0.893204,0.844660,0.893204
1.000000,25,134,0.843284,0.820896,0.835821
1.000000,30,1869,0.876404,0.823435,0.872659
1.000000,35,1621,0.816163,0.753239,0.894510
1.000000,40,1151,0.693310,0.639444,0.856646
1.000000,45,1512,0.699735,0.696429,0.855820
1.000000,50,386,0.556995,0.624352,0.777202
1.000000,55,706,0.402266,0.490085,0.821530
1.000000,60,1016,0.489173,0.498031,0.860236
1.000000,65,1030,0.514563,0.515534,0.904854
1.000000,70,732,0.426230,0.445355,0.889344
1.000000,75,622,0.339228,0.435691,0.848875
1.000000,80,45,0.466667,0.444444,0.933333
2.000000,15,98,0.918367,0.918367,0.918367
2.000000,20,142,0.908451,0.852113,0.894366
2.000000,25,155,0.825806,0.748387,0.819355
2.000000,30,2244,0.868538,0.819073,0.864528
2.000000,35,2009,0.826282,0.769039,0.893479
2.000000,40,1264,0.663766,0.620253,0.824367
2.000000,45,1807,0.659103,0.662424,0.829552
2.000000,50,460,0.534783,0.586957,0.706522
2.000000,55,799,0.455569,0.545682,0.837297
2.000000,60,1286,0.505443,0.500778,0.890358
2.000000,65,1342,0.502235,0.497765,0.894933
2.000000,70,923,0.410618,0.429036,0.901408
2.000000,75,612,0.400327,0.501634,0.887255
2.000000,80,32,0.375000,0.500000,0.781250
3.000000,15,60,0.933333,0.916667,0.933333
3.000000,20,80,0.900000,0.837500,0.900000
3.000000,25,80,0.850000,0.812500,0.837500
3.000000,30,1290,0.884496,0.823256,0.879845
3.000000,35,1128,0.830674,0.760638,0.907801
3.000000,40,687,0.672489,0.614265,0.838428
3.000000,45,1091,0.698442,0.683776,0.849679
3.000000,50,301,0.528239,0.581395,0.720930
3.000000,55,563,0.424512,0.507993,0.836590
3.000000,60,910,0.490110,0.498901,0.870330
3.000000,65,998,0.474950,0.488978,0.909820
3.000000,70,755,0.433113,0.443709,0.898013
3.000000,75,600,0.338333,0.463333,0.846667
3.000000,80,36,0.305556,0.416667,0.888889
4.000000,15,45,0.933333,0.933333,0.933333
4.000000,20,58,0.913793,0.913793,0.913793
4.000000,25,57,0.894737,0.859649,0.877193
4.000000,30,974,0.858316,0.817248,0.853183
4.000000,35,900,0.822222,0.760000,0.900000
4.000000,40,597,0.681742,0.658291,0.854271
4.000000,45,975,0.706667,0.692308,0.841026
4.000000,50,252,0.591270,0.607143,0.753968
4.000000,55,591,0.445008,0.538071,0.847716
4.000000,60,813,0.496925,0.515375,0.886839
4.000000,65,938,0.497868,0.524520,0.915778
4.000000,70,785,0.389809,0.434395,0.901911
4.000000,75,665,0.377444,0.466165,0.888722
4.000000,80,47,0.425532,0.489362,0.978723
5.000000,15,34,0.970588,0.941176,0.970588
5.000000,20,63,0.952381,0.873016,0.936508
5.000000,25,90,0.955556,0.888889,0.955556
5.000000,30,1199,0.919099,0.859049,0.916597
5.000000,35,1387,0.886806,0.819755,0.950252
5.000000,40,1074,0.807263,0.750466,0.925512
5.000000,45,1716,0.820513,0.823427,0.926573
5.000000,50,598,0.767559,0.871237,0.909699
5.000000,55,1091,0.654445,0.736939,0.911091
5.000000,60,1448,0.741713,0.776243,0.925414
5.000000,65,1542,0.771725,0.810636,0.933204
5.000000,70,1191,0.643157,0.678421,0.922754
5.000000,75,1008,0.539683,0.630952,0.913690
5.000000,80,56,0.482143,0.553571,0.892857
6.000000,15,68,0.955882,0.941176,0.897059
6.000000,20,135,0.955556,0.933333,0.866667
6.000000,25,131,0.954198,0.931298,0.854962
6.000000,30,2184,0.953297,0.923077,0.780220
6.000000,35,2805,0.930125,0.896970,0.844920
6.000000,40,2376,0.917508,0.877946,0.802189
6.000000,45,3481,0.922149,0.912956,0.827636
6.000000,50,1163,0.883921,0.914015,0.765262
6.000000,55,1961,0.749108,0.827129,0.821520
6.000000,60,2769,0.817624,0.841098,0.877573
6.000000,65,2574,0.841103,0.862471,0.886558
6.000000,70,1899,0.707214,0.740390,0.895208
6.000000,75,1397,0.569792,0.652112,0.850394
6.000000,80,75,0.546667,0.626667,0.840000
7.000000,15,168,0.982143,0.970238,0.940476
