axis,bin,n,cov_marginal,cov_mondrian,cov_declared
speed_limit,15,5769,0.971226,0.963425,0.944184
speed_limit,20,7603,0.966987,0.953439,0.918453
speed_limit,25,6002,0.954848,0.935355,0.876874
speed_limit,30,115932,0.965402,0.948729,0.886451
speed_limit,35,124253,0.952669,0.925129,0.913612
speed_limit,40,97575,0.936972,0.914240,0.890095
speed_limit,45,133191,0.942504,0.937511,0.907216
speed_limit,50,34504,0.902388,0.923081,0.850365
speed_limit,55,50368,0.774182,0.833664,0.871109
speed_limit,60,55922,0.813633,0.837309,0.897446
speed_limit,65,54621,0.845883,0.863917,0.926091
speed_limit,70,38497,0.722654,0.750890,0.913058
speed_limit,75,28437,0.611457,0.692056,0.881246
speed_limit,80,1512,0.570106,0.645503,0.855820
hour,0,12989,0.655786,0.646932,0.874663
hour,1,11025,0.651519,0.641905,0.867392
hour,2,13173,0.649510,0.639794,0.862370
hour,3,8579,0.624432,0.618487,0.869915
hour,4,7697,0.607769,0.616864,0.874626
hour,5,12497,0.764984,0.778347,0.925502
hour,6,23018,0.847424,0.856113,0.839126
hour,7,39726,0.906006,0.908851,0.886825
hour,8,36291,0.918878,0.917721,0.892287
hour,9,28674,0.911697,0.911034,0.882611
hour,10,30584,0.915479,0.913451,0.886967
hour,11,35995,0.917433,0.917405,0.887679
hour,12,44312,0.929726,0.929139,0.901968
hour,13,43645,0.929614,0.929362,0.902853
hour,14,46472,0.930195,0.931034,0.904954
hour,15,54779,0.939831,0.941273,0.919568
hour,16,60715,0.940838,0.942008,0.920184
hour,17,63111,0.941405,0.943845,0.923959
hour,18,51858,0.932296,0.936307,0.914420
hour,19,36585,0.918929,0.921908,0.896187
hour,20,29053,0.899597,0.902936,0.874608
hour,21,25780,0.861210,0.864624,0.825097
hour,22,21216,0.831542,0.837481,0.936510
hour,23,16412,0.793017,0.796003,0.917499
