beta,is_e7_grid,lambda_cost,lambda_fatal,joint_fatal_omission,fatal_bound,conditional_fatal_omission,joint_omission_numerator,cost_risk,cost_bound,escalated_share,n_test,n_fatal,kappa_max
0.000500,False,0.890518,0.850599,0.000495,0.000500,0.162020,401,0.786113,0.750000,0.021357,810082,2475,1500.000000
0.000624,False,0.872792,0.811221,0.000630,0.000624,0.206061,510,0.971563,0.936000,0.023937,810082,2475,1500.000000
0.000778,False,0.852458,0.773541,0.000764,0.000778,0.250101,619,1.169962,1.167000,0.027650,810082,2475,1500.000000
0.000970,False,0.827340,0.727059,0.000946,0.000970,0.309495,766,1.469375,1.455000,0.033913,810082,2475,1500.000000
0.001209,False,0.797893,0.672361,0.001154,0.001209,0.377778,935,1.824012,1.813500,0.043963,810082,2475,1500.000000
0.001508,False,0.764029,0.597080,0.001486,0.001508,0.486465,1204,2.238380,2.262000,0.058811,810082,2475,1500.000000
0.001880,False,0.727190,0.506530,0.001874,0.001880,0.613333,1518,2.790600,2.820000,0.078404,810082,2475,1500.000000
0.002345,False,0.684259,0.387942,0.001906,0.002345,0.623838,1544,3.454365,3.517500,0.105479,810082,2475,1500.000000
0.002924,False,0.634027,0.212596,0.001906,0.002924,0.623838,1544,4.339471,4.386000,0.141045,810082,2475,1500.000000
0.003646,False,0.575988,0.000000,0.001906,0.003646,0.623838,1544,5.450903,5.469000,0.189925,810082,2475,1500.000000
0.004547,False,0.503425,0.000000,0.001906,0.004547,0.623838,1544,6.850706,6.820500,0.275942,810082,2475,1500.000000
0.005670,False,0.421736,0.000000,0.001906,0.005670,0.623838,1544,6.921763,8.505000,0.281186,810082,2475,1500.000000
0.007071,False,0.291993,0.000000,0.001906,0.007071,0.623838,1544,6.921763,10.606500,0.281186,810082,2475,1500.000000
0.008818,False,0.000000,0.000000,0.001906,0.008818,0.623838,1544,6.921763,13.227000,0.281186,810082,2475,1500.000000
0.010000,True,0.000000,0.000000,0.001906,0.010000,0.623838,1544,6.921763,15.000000,0.281186,810082,2475,1500.000000
0.010996,False,0.000000,0.000000,0.001906,0.010996,0.623838,1544,6.921763,16.494000,0.281186,810082,2475,1500.000000
0.013712,False,0.000000,0.000000,0.001906,0.013712,0.623838,1544,6.921763,20.568000,0.281186,810082,2475,1500.000000
0.017100,False,0.000000,0.000000,0.001906,0.017100,0.623838,1544,6.921763,25.650000,0.281186,810082,2475,1500.000000
0.020000,True,0.000000,0.000000,0.001906,0.020000,0.623838,1544,6.921763,30.000000,0.281186,810082,2475,1500.000000
0.021324,False,0.000000,0.000000,0.001906,0.021324,0.623838,1544,6.921763,31.986000,0.281186,810082,2475,1500.000000
0.026591,False,0.000000,0.000000,0.001906,0.026591,0.623838,1544,6.921763,39.886500,0.281186,810082,2475,1500.000000
0.033160,False,0.000000,0.000000,0.001906,0.033160,0.623838,1544,6.921763,49.740000,0.281186,810082,2475,1500.000000
0.041352,False,0.000000,0.000000,0.001906,0.041352,0.623838,1544,6.921763,62.028000,0.281186,810082,2475,1500.000000
0.050000,True,0.000000,0.000000,0.001906,0.050000,0.623838,1544,6.921763,75.000000,0.281186,810082,2475,1500.000000
0.051567,False,0.000000,0.000000,0.001906,0.051567,0.623838,1544,6.921763,77.350500,0.281186,810082,2475,1500.000000
0.064305,False,0.000000,0.000000,0.001906,0.064305,0.623838,1544,6.921763,96.457500,0.281186,810082,2475,1500.000000
0.080191,False,0.000000,0.000000,0.001906,0.080191,0.623838,1544,6.921763,120.286500,0.281186,810082,2475,1500.000000
0.100000,True,0.000000,0.000000,0.001906,0.100000,0.623838,1544,6.921763,150.000000,0.281186,810082,2475,1500.000000
