hour,speed_bin,n,cov_marg,cov_cc,w_marg,w_cc
0.000000,15,108,0.888889,0.879630,3.342593,3.333333
0.000000,20,148,0.885135,0.885135,3.641892,3.635135
0.000000,25,165,0.830303,0.824242,3.721212,3.696970
0.000000,30,2192,0.866332,0.859489,3.781478,3.762774
0.000000,35,2009,0.822300,0.915381,3.755600,3.933300
0.000000,40,1305,0.668966,0.855172,3.612261,3.938697
0.000000,45,1899,0.682464,0.856240,3.650342,3.966298
0.000000,50,461,0.542299,0.752711,3.603037,4.017354
0.000000,55,818,0.424205,0.842298,3.669927,4.586797
0.000000,60,1187,0.541702,0.893008,3.754002,4.656276
0.000000,65,1126,0.514210,0.915631,3.738011,4.712256
0.000000,70,857,0.423571,0.931155,3.639440,4.781797
0.000000,75,662,0.351964,0.858006,3.799094,4.699396
0.000000,80,52,0.365385,0.788462,3.769231,4.538462
1.000000,15,98,0.928571,0.928571,3.408163,3.397959
1.000000,20,103,0.893204,0.893204,3.621359,3.611650
1.000000,25,134,0.843284,0.835821,3.813433,3.798507
1.000000,30,1869,0.876404,0.872659,3.828785,3.817549
1.000000,35,1621,0.816163,0.894510,3.770512,3.949414
1.000000,40,1151,0.693310,0.856646,3.652476,3.955691
1.000000,45,1512,0.699735,0.855820,3.685185,3.991402
1.000000,50,386,0.556995,0.777202,3.670984,4.129534
1.000000,55,706,0.402266,0.821530,3.660057,4.545326
1.000000,60,1016,0.489173,0.860236,3.816929,4.674213
1.000000,65,1030,0.514563,0.904854,3.843689,4.723301
1.000000,70,732,0.426230,0.889344,3.750000,4.730874
1.000000,75,622,0.339228,0.848875,3.818328,4.686495
1.000000,80,45,0.466667,0.933333,3.955556,4.711111
2.000000,15,98,0.918367,0.918367,3.459184,3.448980
2.000000,20,142,0.908451,0.894366,3.605634,3.584507
2.000000,25,155,0.825806,0.819355,3.741935,3.722581
2.000000,30,2244,0.868538,0.864528,3.844029,3.827540
2.000000,35,2009,0.826282,0.893479,3.793927,3.961672
2.000000,40,1264,0.663766,0.824367,3.673259,3.992089
2.000000,45,1807,0.659103,0.829552,3.671278,4.006641
2.000000,50,460,0.534783,0.706522,3.702174,4.117391
2.000000,55,799,0.455569,0.837297,3.754693,4.560701
2.000000,60,1286,0.505443,0.890358,3.926905,4.708398
2.000000,65,1342,0.502235,0.894933,3.925484,4.736215
2.000000,70,923,0.410618,0.901408,3.798483,4.729144
2.000000,75,612,0.400327,0.887255,3.901961,4.705882
2.000000,80,32,0.375000,0.781250,3.718750,4.718750
3.000000,15,60,0.933333,0.933333,3.600000,3.583333
3.000000,20,80,0.900000,0.900000,3.712500,3.712500
3.000000,25,80,0.850000,0.837500,3.750000,3.712500
3.000000,30,1290,0.884496,0.879845,3.841860,3.831783
3.000000,35,1128,0.830674,0.907801,3.802305,3.971631
3.000000,40,687,0.672489,0.838428,3.652111,3.989811
3.000000,45,1091,0.698442,0.849679,3.707608,4.017415
3.000000,50,301,0.528239,0.720930,3.700997,4.099668
3.000000,55,563,0.424512,0.836590,3.776199,4.598579
3.000000,60,910,0.490110,0.870330,3.949451,4.705495
3.000000,65,998,0.474950,0.909820,3.937876,4.786573
3.000000,70,755,0.433113,0.898013,3.798675,4.704636
3.000000,75,600,0.338333,0.846667,3.845000,4.685000
3.000000,80,36,0.305556,0.888889,4.000000,4.777778
4.000000,15,45,0.933333,0.933333,3.400000,3.400000
4.000000,20,58,0.913793,0.913793,3.672414,3.672414
4.000000,25,57,0.894737,0.877193,3.842105,3.824561
4.000000,30,974,0.858316,0.853183,3.820329,3.806982
4.000000,35,900,0.822222,0.900000,3.798889,3.988889
4.000000,40,597,0.681742,0.854271,3.680067,4.010050
4.000000,45,975,0.706667,0.841026,3.722051,4.001026
4.000000,50,252,0.591270,0.753968,3.785714,4.170635
4.000000,55,591,0.445008,0.847716,3.769882,4.637902
4.000000,60,813,0.496925,0.886839,3.916359,4.735547
4.000000,65,938,0.497868,0.915778,3.985075,4.793177
4.000000,70,785,0.389809,0.901911,3.829299,4.749045
4.000000,75,665,0.377444,0.888722,3.924812,4.754887
4.000000,80,47,0.425532,0.978723,3.829787,4.765957
5.000000,15,34,0.970588,0.970588,3.000000,3.000000
5.000000,20,63,0.952381,0.936508,3.507937,3.460317
5.000000,25,90,0.955556,0.955556,3.788889,3.755556
5.000000,30,1199,0.919099,0.916597,3.753962,3.740617
