age,speed_limit,restraint,light,vehicle_age,rural,body_class,y
24,40,belted,daylight,25,Y,pickup,1
54,30,belted,dusk,19,Y,motorcycle,1
46,65,belted,dark_lighted,17,Y,pickup,2
21,65,belted,dusk,4,N,motorcycle,2
61,65,belted,dawn,12,N,pickup,2
50,40,belted,dark_lighted,19,N,van,1
61,65,belted,dark_lighted,25,N,van,2
32,40,belted,dark_lighted,2,N,motorcycle,1
78,75,belted,dawn,4,N,motorcycle,3
33,65,belted,dusk,21,N,passenger_car,1
32,75,belted,dawn,4,Y,suv,3
55,70,unrestrained,dusk,8,N,passenger_car,1
59,30,belted,dark_lighted,21,Y,passenger_car,2
70,70,belted,dark_unlighted,12,N,passenger_car,2
47,40,belted,dark_unlighted,6,Y,pickup,1
32,40,belted,dark_unlighted,21,Y,pickup,2
85,75,unrestrained,daylight,14,N,pickup,4
20,55,belted,dark_unlighted,25,N,motorcycle,1
57,65,belted,dark_lighted,12,Y,motorcycle,3
30,70,belted,dark_unlighted,3,Y,van,3
38,55,belted,dark_lighted,11,Y,motorcycle,2
19,70,belted,daylight,7,N,pickup,1
66,55,belted,daylight,17,N,pickup,1
53,75,belted,dark_unlighted,17,N,passenger_car,1
41,70,unrestrained,dawn,5,Y,pickup,4
86,55,unrestrained,dusk,13,Y,suv,4
79,75,belted,dark_lighted,15,Y,van,3
39,75,belted,dusk,20,N,van,2
39,75,belted,dark_lighted,1,Y,passenger_car,2
63,55,belted,dawn,17,Y,motorcycle,4
29,70,belted,dusk,2,Y,motorcycle,1
29,70,belted,dusk,17,Y,passenger_car,1
78,70,belted,daylight,19,N,passenger_car,2
61,55,belted,dark_unlighted,3,Y,suv,2
17,30,belted,dawn,12,N,suv,1
29,30,belted,dark_lighted,23,N,suv,1
28,55,belted,dark_lighted,18,Y,suv,1
69,75,belted,dusk,11,N,pickup,3
41,75,belted,dawn,20,N,suv,1
55,75,unrestrained,dark_lighted,11,Y,motorcycle,4
18,70,belted,dark_unlighted,3,Y,motorcycle,3
56,30,belted,dawn,2,N,suv,1
67,55,belted,dusk,5,N,passenger_car,1
82,55,belted,dark_unlighted,3,Y,motorcycle,3
48,40,belted,daylight,23,N,passenger_car,1
40,55,belted,dusk,12,Y,van,1
62,40,belted,dawn,23,N,pickup,2
76,40,unrestrained,dusk,3,N,suv,2
63,70,belted,dusk,24,N,passenger_car,1
56,75,belted,dusk,19,N,passenger_car,2
69,75,belted,dark_lighted,11,Y,van,2
33,55,unrestrained,daylight,18,N,passenger_car,3
39,70,belted,dawn,25,Y,suv,1
86,30,unrestrained,dawn,18,N,motorcycle,2
67,55,belted,dawn,4,Y,motorcycle,4
80,65,belted,dawn,12,Y,passenger_car,2
72,40,belted,dusk,16,N,passenger_car,1
58,70,unrestrained,dark_lighted,19,N,van,3
78,75,belted,dawn,5,N,passenger_car,1
20,75,belted,dark_lighted,20,Y,passenger_car,2
36,70,belted,daylight,16,N,suv,1
85,65,belted,dark_unlighted,8,N,passenger_car,1
54,65,unrestrained,dusk,10,N,passenger_car,3
58,40,belted,dark_lighted,8,N,passenger_car,1
17,40,unrestrained,dark_unlighted,10,N,suv,1
46,40,unrestrained,dark_unlighted,17,Y,van,3
17,55,unrestrained,dawn,10,Y,motorcycle,2
43,70,belted,dusk,23,Y,suv,1
71,40,belted,dusk,10,N,suv,1
28,40,belted,dark_lighted,1,N,van,1
42,75,belted,dusk,5,N,passenger_car,1
84,55,belted,dark_unlighted,4,Y,van,2
82,55,belted,dark_lighted,14,Y,van,2
45,40,belted,dusk,6,Y,pickup,1
74,40,unrestrained,dark_lighted,18,N,passenger_car,3
26,70,belted,daylight,24,N,pickup,1
55,40,belted,dark_lighted,10,N,suv,1
26,70,belted,dark_lighted,2,N,pickup,1
29,55,belted,dawn,16,N,pickup,1
76,75,belted,dawn,23,N,van,1
62,65,belted,dark_unlighted,1,Y,motorcycle,2
53,75,belted,dawn,22,N,passenger_car,2
36,40,belted,dawn,13,Y,van,1
39,65,belted,dusk,22,N,motorcycle,3
22,65,belted,dark_lighted,3,N,pickup,1
84,40,belted,dawn,11,N,pickup,1
19,55,belted,dawn,2,Y,van,1
78,30,unrestrained,daylight,17,Y,suv,3
85,55,belted,daylight,11,N,passenger_car,2
41,75,belted,dark_lighted,6,N,suv,1
42,70,belted,dusk,7,Y,motorcycle,4
31,55,unrestrained,dark_lighted,10,N,motorcycle,2
83,70,belted,dusk,5,Y,passenger_car,3
29,75,belted,dark_unlighted,10,Y,motorcycle,3
30,65,belted,daylight,16,N,passenger_car,1
46,40,belted,dusk,8,N,van,1
39,40,belted,dark_unlighted,4,Y,van,2
32,40,belted,dawn,16,N,passenger_car,1
